tilt	even	odd
0	0.005008578545167605	0.004964279296716947
1	0.006166428937896784	0.004970238822739792
2	0.1823517171320725	0.08795418128245519
3	0.3222028517904457	0.3267721536666666
4	0.47039823756190036	0.47209017032190853
5	0.6051955674889621	0.6067227622940908
6	0.7316364591360182	0.730249196497006
7	0.9527098014163815	0.963238419037336
8	0.9999864541663263	1.00000404176126
9	0.9999857836244405	1.0000026747345365
10	0.9990080358589994	1.0000020163525571
11	0.9916126374301827	1.0000025109325816
12	1.0185742290547566	1.0084178591169823
13	1.0338896237256356	1.0064517957096886
14	1.0137748522859813	1.0139039485483994
15	0.9827943141187384	0.9894031294466353
16	0.9939229644681291	0.9764947728942875
17	0.9952412363271242	1.006454897703276
18	1.0025384487231066	1.0034570428014409
19	0.980236720022116	0.9884196976802648
20	0.9874377323172508	0.9676709493373918
21	0.9700386514067336	0.9704981604376686
22	0.9597217800688298	0.9649034572352972
23	0.9546054627539393	0.9556685988053316
24	0.9578309650573164	0.9540954854886944
25	0.9473865987154727	0.9495090427897892
26	0.9523920630455734	0.9457656986474678
27	0.9423175212861465	0.9209900591185457
28	0.938484324668117	0.9440132481494835
29	0.9290363687109049	0.9854469381272104
